Technique,QuestionID,AnswerID,ParagraphIndex,SentenceIndex,SentenceText,Original Sentence Text
6,51580523,51580716,,,"Solution :- You must use database , when you save data you do it in db , when you delete data , you delete it from db & when you fetch data then you fetch from db.","Solution :- <em>You must use database</em> , when you save data you do it in db , when you delete data , you delete it from db &amp; when you fetch data then you fetch from db."
9,51628014,51628324,,,"regarding the download every launch , i recommend having expire or new data flag , you should store them in a file/coreData or any other alternative and , it's best to implement Codable , to read them as Data to objects and vice versa when saving","regarding the download every launch , i recommend having expire or new data flag , you should store them in a file/coreData or any other alternative and , it's best to implement <code>Codable</code> , to read them as <code>Data</code> to objects and vice versa when saving"
7,51674222,51675877,,,"if your had a dict {object(): ""foobar""} it would skip the object() key, whereas without skipkeys set to True it would raise a TypeError.","if your had a <code>dict</code> <code>{object(): ""foobar""}</code> it would skip the <code>object()</code> key, whereas without <code>skipkeys</code> set to <code>True</code> it would raise a <code>TypeError</code>."
6,51682923,51683003,,,and here how you can insert to db : for ADO.Net : https://msdn.microsoft.com/en-us/library/ms233812.aspx,"and here how you can insert to db :
for ADO.Net : <a href=""https://msdn.microsoft.com/en-us/library/ms233812.aspx"" rel=""nofollow noreferrer"">https://msdn.microsoft.com/en-us/library/ms233812.aspx</a>"
1,49638703,49666744,2,1,For example if the given date range is valid.,For example if the given date range is valid.
2,49638703,49666744,3,0,"Stating this, if a returning error code can not be used to figure out the exact problem of the request, the design of the API interface might be not optimal.","Stating this, if a returning error code cannot be used to figure out the exact problem of the request, the design of the API interface <strong>might</strong> be not optimal."
3,49638703,49667023,3,2,"but I think in you case , you should rather investigate why the client be unable to display the CW - this should be the best and most flexible way to go to add additional validation in the future .","But I think in your case, you should rather investigate why the client is unable to display the <code>errorMsg</code> - this should be the best and most flexible way to go to add additional validations in the future."
1,49742914,49742993,0,0,"Check the result of CW on the property CW, if it is either CW or CW then return that result.","Check the result of <code>localeCompare</code> on the property <code>user</code>, if it is either <code>-1</code> or <code>1</code> then return that result."
1,49742914,49743008,2,0,This works because CW will only consider the second component if the CW is zero.,This works because <code>||</code> will only consider the second component if the <code>localeCompare</code> is zero.
2,49742914,49743008,3,0,"I also want to point out that CW be not only make the checking of the statement concise , it also allow you to chain further check in you sorting requirement .","I also want to point out that <code>||</code> is not only making the checking of the statement concise, it also allows you to chain further checks in your sorting requirement."
3,49742914,49743033,0,0,"This alternative compares the usernames first ( faster than a precipitated localeCompare execution ), if they are equal then a common comparison between integers is executed.","This alternative compares the usernames first <strong>(faster than a precipitated localeCompare execution)</strong>, if they are equal then a common comparison between integers is executed."
1,49868076,49875401,3,0,"Probably, the compiler is giving you a warning, but allows you to have such a constructor, even if it will result in undefined behavior or slicing an instance of CW every time it is passed by value.","Probably, the compiler is giving you a warning, but allows you to have such a constructor, even if it will result in undefined behavior or <strong>slicing</strong> an instance of <code>MyObject</code> every time it is passed by value."
2,49868076,49875401,7,0,"Furthermore, if you want to exploit polymorphic behavior you must use pointers, even if there is no explicit need to cast to derived classes in your code, as far as I can see.","Furthermore, if you want to exploit polymorphic behavior you must use pointers, even if there is no explicit need to cast to derived classes in your code, as far as I can see."
4,49868076,49904853,1,0,"If your code uses the class as a CW for any reason other than to get meta information, you are almost certainly using it incorrectly if you are trying to store it by value ( as explained by G. Giordano in their answer ).","If your code uses the class as a <code>QObject</code> for any reason other than to get meta information, you are almost certainly using it incorrectly if you are trying to store it by value (as explained by G. Giordano in their answer)."
1,49996456,51494250,1,0,But if you need to use older versions:,But if you need to use older versions:
8,49996456,51494250,4,0,But if you have an CW property in your CW:,But if you have an <code>include</code> property in your <code>tsconfig.json</code>:
3,49996456,51494250,5,0,then you cw should be in the CW directory as describe in CW property,Then your <code>typings.d.ts</code> should be in the <code>src</code> directory as described in <code>include</code> property
1,50014635,50014693,1,0,"Do add proper error handling like if file does not exists, then send back CW using something like below:","Do add proper error handling like if file does not exists, then send back <code>404</code> using something like below:"
2,50014635,50014701,15,1,Please use this method carefully and only if you know what you are doing.,Please use this method carefully and only if you know what you are doing.
3,50014635,50014701,16,0,if you do not want to create a designate directory -lrb- in this case ` public ' folder -rrb- and put all you top level folder there in order to access it .,If you do not wanted to create a designated directory (in this case 'public' folder) and put all your top level folders there in order to access it.
1,50088757,50088868,0,0,you should cast you datum to the CW type because you have array in response .,You should cast your data to the <code>[[String: Any]]</code> type because you have array in response.
2,50088757,50088868,3,0,Or if you want to get just only one CW object from response you can write:,Or if you want to get just only one <code>[String: Any]</code> object from response you can write:
3,50088757,50088868,4,0,Or if your object can be an array or not an array ( but it sounds a little bit strange ) you could try to cast to several possible types.,Or if your object can be an array or not an array (but it sounds a little bit strange) you could try to cast to several possible types.
8,50227069,50227170,0,0,"Use CW to convert the array into an object, as you're doing, but then you need to CW twice to see if the matching CW and then if the matching CW object exists.","Use <code>.reduce</code> to convert the array into an object, as you're doing, but then you need to <code>.find</code> twice to see if the matching <code>name</code> and then if the matching <code>value</code> object exists."
4,50227069,50227170,2,0,"Do n't mix CW and CW/CW - if you're using ES6, which you should be, always use CW, except when you need to reassign, in which case use CW.","Don't mix <code>var</code> and <code>let</code>/<code>const</code> - if you're using ES6, which you should be, always use <code>const</code>, except when you need to reassign, in which case use <code>let</code>."
1,50254393,50261031,6,4,Pay attention if you need to serialize the data.,Pay attention if you need to serialize the data.
2,50254393,50261031,10,0,I hope the explanation makes sense and check the documentation if you need more info.,I hope the explanation makes sense and check the documentation if you need more info.
3,50254393,50290238,3,0,"the function need to be of type jsonresult , and the return value of json use jsonrequestbehavior.allowget .","The function needs to be of type JsonResult, and the returned value of Json using  JsonRequestBehavior.AllowGet."
3,50254393,50290238,5,3,if you use console.log the result return from the mvc controller and view it in the browser inspect you will see the object with lot of other info and the value you want be in the .,If you use console.log the result returned from the mvc controller and view it in the browser inspect you'll see the object with lots of other info and the values you want are in the .data section of the object.
1,50460523,50460596,3,0,CW This works only if the keys in your CW variable overlap with the keys in the item.,"<code>for item in data:
    if item['hostname'] == 'c.example.com':
       item.update(update)
</code>
This works only if the keys in your <code>update</code> variable overlap with the keys in the item."
1,50460523,50460873,0,0,"If you have something assigned to x, e.g. CW, then if you write CW, that does not influence CW * ( or any other data, for that matter ) in any way.","If you have something assigned to x, e.g. <code>x = object1</code>, then if you write <code>x = object2</code>, that does not influence <code>object1</code>* (or any other data, for that matter) in any way."
2,50460523,50460873,5,0,"what you actually want be to modify CW , so you should do so , e.g.","What you actually want is to modify <code>data</code>, so you should do so, e.g."
3,50460523,50460873,6,0,"( * ) Although the original data is not modified by this, it may be `` deleted'' i.e. it's memory may be freed if it is no longer referenced by any variable, because it is no longer needed.","(*) Although the original data is not modified by this, it may be ""deleted"" i.e. it's memory may be freed if it is no longer referenced by any variable, because it is no longer needed."
1,50485037,50485134,1,1,Overwrites the existing file if the file exists.,Overwrites the existing file if the file exists.
1,50485037,50485160,6,1,"You'll also need to account for the file not yet existing, and if you do n't want to wait for locks forever, you need to handle timeouts ( meaning you need to use CW in a loop and test for the return value to see if the lock was acquired, until a certain amount of time has passed ).","You'll also need to account for the file not yet existing, and if you don't want to wait for locks forever, you need to handle timeouts (meaning you need to use <code>LOCK_NB</code> <em>in a loop</em> and test for the return value to see if the lock was acquired, until a certain amount of time has passed)."
2,50485037,50485160,7,0,"In the following context manager, I used the CW low-level system call to ensure the file is created when trying to lock it for exclusive access without truncating it if it already exists:","In the following context manager, I used the <code>os.open()</code> low-level system call to ensure the file is created when trying to lock it for exclusive access <em>without truncating it if it already exists</em>:"
3,50485037,50485160,10,0,"if you want to allow for a timeout , add a cw block around the CW block and catch the CW exception ; you will need to decide what should happen then :","If you want to allow for a timeout, add a <code>try/except</code> block around the <code>with</code> block and catch the <code>Timeout</code> exception; you'll need to decide what should happen then:"
1,50522602,50523464,2,1,Next we add custom getter and setter for public property which checks each it is invoked if CW is null.,Next we add custom getter and setter for public property which checks each it is invoked if <code>_isPlaying</code> is null.
2,50522602,50523464,2,2,And if so it returns your default value.,And if so it returns your default value.
3,50522602,50523464,3,1,otherwise you should consider use another json library like Jackson which as I know support Kotlin well .,Otherwise you should consider using another json library like Jackson which as I know supports Kotlin well.
1,50605220,50605397,0,0,You can use this regex if you have to use CW,"You can use this regex if you have to use <code>type=""text""</code>"
2,50605220,50606096,1,0,If it passes this validation then you check if it exceedes the max value of your input.,If it passes this validation then you check if it exceedes the max value of your input.
3,50605220,50606096,2,0,"for the min value , the user can not enter something below CW because to do that he should be able to write CW , which do not pass the first condition -lrb- number only -rrb-","For the min value, the user cannot enter something below <code>0</code> because to do that he should be able to write <code>-</code>, which doesn't pass the first condition ( numbers only )"
2,50619917,50620118,2,0,"and you will also have to add the CW keyword to your top function that wraps your code, but if this is a website you'll need to use babel for this to work in all browsers.","and you will also have to add the <code>async</code> keyword to your top function that wraps your code, but if this is a website you'll need to use babel for this to work in all browsers."
10,50619917,50620194,0,0,"CW returns a CW, so if you want to use slice method, you should use it inside the last CW, but it would be better if you fetch your data in CW, save your data in React state, and after that use in CW method ;","<code>fetch</code> returns a <code>Promise</code>, so if you want to use slice method, you should use it inside the last <code>.then()</code>, but it would be better if you fetch your data in <code>componentDidMount</code>, save your data in React state, and after that use in <code>render</code> method;"
1,50703187,50703313,1,0,"Another thing to notice, is that CW is synchronous, so if your JSON is specially large, the first time you instanciate CW the event loop will be blocked.","Another thing to notice, is that <code>require</code> is synchronous, so if your JSON is specially large, the first time you instanciate <code>MyClass</code> the event loop will be blocked."
3,50703187,50703313,2,0,"so , yes , in my opinion , CW call should be at the top , unless you know what you be do , or you be load a dynamic dependency .","So, yes, in my opinion, <code>require</code> calls should be at the top, unless you know what you're doing, or you're loading a dynamic dependency."
2,50703187,50703427,5,1,"I'd only put CW inside the constructor if it was a dynamic dependency, like CW.","I'd only put <code>require</code> inside the constructor if it was a dynamic dependency, like <code>const wordlist = require(</code>./config/lang/${lang}.json<code>)</code>."
2,50957609,50957707,0,1,Loop through the object and check to see if car1 exists on the next level down.,Loop through the object and check to see if car1 exists on the next level down.
4,50957609,50958104,3,1,"The good news is this will work if given an Array of objects as well instead of a nested Object, but only because we do n't care about the keys that hold the objects and only that an object actually has a ` car1' property"," The good news is this will work if given an Array of objects as well instead of a nested Object, but only because we don't care about the keys that hold the objects and only that an object actually has a 'car1' property"
1,51580523,51580586,0,0,You can use session storage if you want the data to be retrieved once PER SESSION or local storage if you want to have better control of the data's `` expiration''.,"You can use session storage if you want the data to be retrieved once <strong>PER SESSION</strong> or local storage if you want to have better control of the data's ""expiration""."
1,51580523,51580653,0,0,You could put the data in LINK and always check if there is some data there before doing the request.,"You could put the data in <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Window/localStorage"" rel=""nofollow noreferrer""><code>localStorage</code></a> and always check if there is some data there before doing the request."
2,51580523,51583718,1,1,If you're correctly sending change/delete requests - they will be memorized and refresh will read updated data ( if not cached ).,If you're correctly sending change/delete requests - they will be memorized and refresh will read updated data (if not cached).
3,51580523,51583718,2,0,if it be a spa -lrb- single Page app -rrb- there be no need for refresh - it should not happen .,If it's a SPA (Single Page App) there is no need for refresh - it shouldn't happen.
1,51628014,51628170,0,1,"Then, if the content may have been updated, you should override the previously downloaded files with the new ones, at app launch.","Then, if the content may have been updated, you should override the previously downloaded files with the new ones, at app launch."
1,51628014,51628170,2,0,Please tell me if you need help for Swift translation: ),Please tell me if you need help for Swift translation :)
2,51628014,51628324,1,0,"regarding sending app to background, the content wo n't reset if the app is left working by IOS, but if closed you will get a new launch when you open it again with array content is initiated from the begining","regarding sending app to background , the content won't reset if the app is left working by IOS , but if closed you will get a new launch when you open it again with array content is initiated from the begining"
1,51674222,51674892,2,0,"and perhaps a third, but a casual scan of the Construct project pages does n't tell me if it is available: have Construct output JSON or at least a JSON-compatible dictionary, perhaps by using adapters.","and perhaps a third, but a casual scan of the Construct project pages doesn't tell me if it is available: have Construct output JSON or at least a JSON-compatible dictionary, perhaps by using adapters."
2,51674222,51675877,3,0,"in this case skip just by type should suffice , but in case the CW key hold some other undesirable datum this guarantee it will not be in the final result .","In this case skipping just by type should suffice, but in case the <code>_io</code> key holds some other undesirable data this guarantees it won't be in the final result."
3,51674222,51675877,4,0,"Of course, if your structure contains some other exotic data or data that is represented in JSON differently based on its type, this approach might mess it up as it turns all mappings into CW and all sequences into CW.","Of course, if your structure contains some other exotic data or data that is represented in JSON differently based on its type, this approach might mess it up as it turns all mappings into <code>dict</code> and all sequences into <code>list</code>."
1,51682923,51682974,2,0,People might be able to give better answers if you include the following:,People might be able to give better answers if you include the following:
1,51682923,51683218,0,0,If your json contains from 0 ... N number of persons then CW is good solution for you this may reduce your database round trip if you have performance requirement,If your json contains from 0.....N number of persons then <code>BatchUpdate</code> is good solution for you this may reduce your database round trip if you have performance requirement
5,51682923,51683218,2,0,LINK is good article if you have to use CW as insert command.,"<a href=""https://jishnutkl.wordpress.com/tag/mysql-bulk-insert-from-c-net/"" rel=""nofollow noreferrer"">Here</a> is good article if you have to use <code>StoedProcedure</code> as insert command."
4,51783807,51784010,0,0,"You should n't use CW as it will not work the way you might expect it, particularly if you're dealing with strings.","You shouldn't use <code>contains/1</code> as it will not work the way you might expect it, particularly if you're dealing with strings."
1,51783807,51784010,0,1,It will recursively check if all parts are contained.,It will recursively check if all parts are contained.
8,51783807,51784010,0,2,"So not only will it check if the string is contained in the array, but if the string is also a substring.","So not only will it check if the string is contained in the array, but if the string is also a substring"
